team,date,elo_(k=32)_rating,elo_(k=32)_avg_7d,elo_(k=32)_δ7d,elo_(k=32)_avg_30d,elo_(k=32)_δ30d,elo_(k=64)_rating,elo_(k=64)_avg_7d,elo_(k=64)_δ7d,elo_(k=64)_avg_30d,elo_(k=64)_δ30d,glicko_1_rating,glicko_1_μ,glicko_1_σ,glicko_1_δrat.7d,glicko_2_rating,glicko_2_μ,glicko_2_σ,glicko_2_δrat.7d
Motivate.Trust Gaming,10-5-2022,896.61,912.23,-30.29,915.41,-42.09,872.70,904.60,-64.49,890.98,-54.47,1437.76,1591.89,61.65,+32.17,1534.91,1643.40,43.40,+3.40
Coritiba Esports,10-5-2022,921.47,919.54,+3.88,924.32,-16.78,906.25,903.95,+4.63,913.56,-31.05,1195.39,1619.48,169.64,-50.12,1515.04,1645.64,52.24,-2.63
iG.Vitality,10-5-2022,888.19,885.45,+5.52,886.27,-22.43,832.55,828.45,+8.26,827.26,-13.58,1133.45,1539.14,162.28,-52.73,1510.19,1670.12,63.97,-2.16
Yangon Galacticos,10-5-2022,976.52,975.94,+1.16,995.96,-30.94,961.32,960.37,+1.91,1001.92,-67.33,1189.71,1587.62,159.16,-53.92,1509.69,1647.33,55.05,-2.51
Team Empire,10-5-2022,932.06,930.40,+3.35,952.29,+4.79,874.89,871.83,+6.17,918.53,-1.99,1215.67,1549.63,133.59,-66.51,1508.11,1626.28,47.26,-3.07
SG esports,10-5-2022,1017.57,1018.00,-0.87,1007.01,+52.65,1054.28,1055.61,-2.68,1038.13,+91.88,1121.89,1546.15,169.70,-50.10,1507.46,1656.45,59.60,-2.30
No Monkey Business,10-5-2022,978.09,982.88,-25.82,960.58,-4.83,977.99,992.78,-51.79,938.59,+14.59,1426.90,1601.65,69.90,-11.77,1502.77,1640.86,55.24,-11.14
Nemiga Gaming,10-5-2022,916.09,914.04,+4.14,888.43,+14.29,884.03,881.19,+5.72,816.40,+72.22,1086.25,1465.83,151.83,-56.97,1499.65,1613.62,45.59,-3.03
Wolf Team,10-5-2022,1072.68,1074.46,-3.59,1074.90,+31.11,1126.23,1129.32,-6.23,1131.93,+48.45,1270.17,1748.42,191.30,-43.83,1484.35,1657.48,69.25,-1.97
X3,10-5-2022,1014.94,1039.72,-11.67,991.96,+51.51,997.72,1069.94,-74.08,1019.32,+9.84,1398.11,1678.37,112.10,-83.93,1482.34,1625.99,57.46,-2.38
Rune Eaters,10-5-2022,1012.62,1012.93,-0.62,993.22,-,1030.42,1031.17,-1.50,999.48,-,1287.48,1632.14,137.86,-63.96,1464.18,1662.72,79.41,-1.72
DogChamp,10-5-2022,1015.20,971.01,+70.60,912.39,+119.00,1081.26,1014.44,+111.55,895.73,+227.02,1469.55,1620.96,60.56,+42.27,1463.02,1589.34,50.53,+28.06
Balrogs e-Sport,10-5-2022,943.73,942.35,+2.78,946.27,-24.55,906.24,903.94,+4.63,906.44,-24.87,1183.63,1595.09,164.58,-51.88,1454.83,1622.09,66.91,-2.04
Ooredoo Thunders,10-5-2022,999.86,980.63,+26.43,984.62,-,1042.78,964.42,+121.29,970.50,-,1420.81,1614.81,77.60,+98.63,1451.56,1640.27,75.48,+89.61
Gorillaz-Pride,10-5-2022,1043.44,1044.51,-2.14,1034.39,+37.93,1073.52,1075.32,-3.63,1057.74,+63.48,1134.24,1557.98,169.50,-50.17,1446.09,1602.70,62.65,-2.19
Into The Breach,10-5-2022,975.85,975.26,+1.19,966.56,+12.89,972.01,971.33,+1.38,957.69,+23.28,992.27,1431.40,175.66,-48.19,1419.46,1603.66,73.68,-1.85
5RATFORCESTAFF,10-5-2022,1053.65,1054.97,-2.65,1084.58,-23.98,1038.42,1039.36,-1.90,1105.97,-64.96,1264.91,1629.31,145.76,-59.79,1404.35,1579.28,69.97,-1.95
Team Bald Reborn,10-5-2022,902.95,900.57,+4.79,910.76,-25.35,843.20,839.35,+7.74,856.04,-38.78,897.53,1320.74,169.28,-50.24,1399.75,1562.78,65.21,-2.10
UD VESSUWAN,10-5-2022,995.56,995.45,+0.22,963.92,+34.40,1053.80,1055.12,-2.65,973.83,+113.84,1260.10,1604.63,137.81,-63.99,1393.14,1579.29,74.46,-1.83
The Cut,10-5-2022,850.84,859.01,-8.27,888.67,-79.86,804.91,798.31,+20.79,827.23,-81.80,1212.61,1431.43,87.53,-31.32,1376.80,1506.10,51.72,-25.16
Simply TOOBASED,10-5-2022,878.26,875.27,+6.01,866.98,+10.57,825.33,821.05,+8.62,809.37,+13.47,906.79,1399.85,197.22,-42.38,1374.78,1528.29,61.40,-2.23
Yet Another Team,10-5-2022,926.11,938.37,+6.23,904.79,+2.53,907.56,932.96,+8.64,840.57,+50.57,1204.38,1521.91,127.01,-70.90,1371.11,1539.02,67.16,-2.03
B8,10-5-2022,893.98,891.38,+5.23,889.98,+11.49,851.78,848.15,+7.31,847.70,+13.57,649.10,1255.85,242.70,-33.91,1366.39,1511.81,58.17,-2.36
IVY,10-5-2022,944.40,943.03,+2.74,911.74,+86.50,969.15,968.39,+1.52,910.41,+168.49,1003.72,1427.50,169.51,-50.16,1356.35,1512.90,62.62,-2.19
Omega Gaming,10-5-2022,937.44,935.91,+3.09,957.74,-73.38,872.85,869.73,+6.27,911.50,-142.47,979.49,1390.79,164.52,-51.90,1349.00,1508.02,63.61,-2.16
Eternity,10-5-2022,912.25,910.10,+4.33,902.22,+48.41,895.30,892.74,+5.17,879.82,+109.82,872.54,1300.32,171.11,-49.63,1347.28,1493.05,58.31,-2.36
Nova,10-5-2022,886.76,906.51,-45.36,932.95,-,825.71,861.10,-85.29,880.69,-,1193.39,1464.45,108.43,-88.10,1335.40,1509.33,69.57,-1.96
Arkosh Gaming,10-5-2022,949.64,948.40,+2.49,933.53,+57.18,960.62,959.66,+1.94,936.77,+99.22,1014.03,1430.96,166.77,-51.10,1326.63,1472.30,58.27,-2.35
felt,10-5-2022,1005.77,1005.91,-0.28,1023.59,-42.79,995.81,995.71,+0.21,1035.74,-117.49,1208.85,1552.41,137.42,-64.21,1323.24,1467.14,57.56,-2.39
Happy Seals,10-5-2022,896.71,945.36,-105.56,1010.73,-157.24,766.27,882.79,-227.52,1001.24,-318.50,1295.42,1469.05,69.45,-7.73,1277.17,1446.23,67.63,-6.89
KBU.US,10-5-2022,974.27,973.64,+1.27,966.37,-22.90,954.89,953.79,+2.23,935.79,-51.56,978.67,1393.11,165.78,-51.45,1267.61,1439.27,68.67,-1.99
Interitus,10-5-2022,892.98,890.36,+5.28,885.34,+4.39,845.63,841.85,+7.62,831.66,+26.22,811.82,1308.97,198.86,-42.00,1195.82,1386.62,76.32,-1.79
5ManMidas,10-5-2022,920.41,918.46,+3.93,933.11,-17.42,859.55,856.11,+6.93,887.98,-41.07,875.04,1299.25,169.69,-50.11,1187.91,1345.58,63.07,-2.17
PSG.LGD,9-5-2022,1188.78,1155.89,+43.36,1150.67,+67.73,1297.47,1217.88,+104.15,1208.60,+138.51,1997.91,2296.57,119.46,-76.85,2001.05,2120.93,47.95,-3.01
Tundra Esports,9-5-2022,1159.30,1167.98,+8.60,1122.60,+47.02,1238.59,1258.09,+13.46,1174.96,+85.86,2027.43,2172.69,58.10,+105.24,1965.68,2073.53,43.14,+54.39
Team Spirit,9-5-2022,1165.03,1169.07,-8.14,1138.41,+29.67,1255.18,1261.43,-12.59,1194.04,+79.33,1816.61,2047.65,92.42,-11.68,1913.56,2032.03,47.39,-15.75
Team Aster,9-5-2022,1093.82,1100.47,+2.82,1090.14,+17.46,1122.54,1146.45,-5.70,1130.07,+3.36,1926.40,2194.28,107.15,-89.67,1902.14,2013.48,44.53,-3.19
OG,9-5-2022,1146.79,1150.38,-7.24,1151.21,+17.61,1268.96,1275.55,-13.27,1282.56,+7.37,1910.08,2135.37,90.12,+74.71,1896.16,2013.88,47.09,+21.58
Royal Never Give Up,9-5-2022,1093.80,1052.58,+71.22,1065.51,-12.10,1176.40,1066.68,+199.74,1064.59,+45.41,1848.07,2131.40,113.33,-82.64,1890.22,2001.31,44.44,-3.10
BOOM Esports,9-5-2022,1119.72,1147.29,-21.15,1162.40,-61.51,1127.94,1186.13,-40.17,1209.57,-114.72,1853.87,2031.71,71.14,+26.87,1887.25,1995.13,43.15,-5.33
TSM FTX,9-5-2022,1096.63,1099.00,-4.77,1113.05,-32.21,1122.96,1125.97,-6.07,1148.33,-46.36,1852.27,2063.80,84.61,+210.16,1881.65,1998.15,46.60,+15.21
Xtreme  Gaming,9-5-2022,1094.83,1114.74,-34.72,1120.87,-61.71,1108.44,1155.17,-80.93,1158.98,-119.36,1914.63,2189.38,109.90,-86.37,1880.41,2002.93,49.01,-2.82
Team Liquid,9-5-2022,1135.06,1095.11,+58.33,1090.03,+49.76,1260.74,1178.06,+122.58,1169.63,+83.45,1866.58,2034.72,67.26,+1.39,1856.95,1968.82,44.74,-7.83
Gaimin Gladiators,9-5-2022,1079.67,1106.15,-83.16,1108.57,-12.83,1086.16,1141.18,-177.29,1165.26,-46.83,1894.56,2049.68,62.05,+55.25,1856.16,1978.00,48.74,+27.98
Thunder Awaken,9-5-2022,1211.10,1216.27,-10.42,1219.65,+4.46,1297.22,1304.50,-14.67,1306.56,+12.46,1897.66,2101.45,81.52,+202.89,1849.14,1962.12,45.19,+41.16
Evil Geniuses,9-5-2022,1137.84,1141.21,-6.80,1138.99,-3.76,1205.69,1210.73,-10.15,1207.57,-15.31,1669.35,1889.37,88.01,-7.34,1828.71,1952.14,49.37,-44.57
Vici Gaming,9-5-2022,1033.47,1034.29,-1.65,1016.39,+73.25,1090.67,1092.89,-4.47,1059.33,+148.32,1645.92,2070.90,169.99,-50.00,1822.11,1949.86,51.10,-2.73
INVICTUS GAMING,9-5-2022,1037.29,1038.21,-1.84,1028.57,+19.96,1049.83,1051.05,-2.46,1033.71,+34.49,1452.47,1888.18,174.28,-48.61,1820.22,1950.13,51.96,-2.71
T1,9-5-2022,1096.87,1099.24,-4.78,1100.60,-14.20,1148.68,1152.33,-7.34,1151.68,-17.86,1814.42,2032.14,87.09,+178.25,1819.08,1931.13,44.82,+26.18
Fnatic,9-5-2022,1126.31,1129.40,-6.23,1112.61,+55.26,1222.64,1228.09,-10.99,1192.95,+111.10,1778.29,2001.85,89.43,+84.58,1806.47,1925.33,47.54,+7.07
Team Secret,9-5-2022,1010.37,1010.62,-0.51,1013.83,+2.51,1017.25,1017.67,-0.85,1025.34,+5.27,1466.37,1911.01,177.86,-47.52,1804.34,1937.01,53.07,-2.65
EHOME,9-5-2022,990.45,1003.47,-24.37,1004.45,+19.87,990.29,1019.98,-58.20,1025.14,+45.59,1653.11,1972.92,127.92,-70.25,1798.89,1925.74,50.74,-2.85
Entity,9-5-2022,1093.01,1095.29,-4.59,1110.16,-68.71,1119.21,1122.14,-5.88,1142.57,-119.50,1558.36,1940.71,152.94,-56.48,1785.84,1909.94,49.64,-2.76
Quincy Crew,9-5-2022,1050.89,1052.14,-2.51,1056.82,+2.37,1069.18,1070.87,-3.41,1075.20,+14.81,1472.07,1893.63,168.62,-50.46,1777.18,1918.02,56.33,-2.43
Virtus.pro,9-5-2022,1059.80,1061.26,-2.95,1071.41,-18.33,1092.43,1094.69,-4.56,1114.00,-33.94,1376.94,1801.05,169.64,-50.12,1763.61,1902.61,55.60,-2.58
beastcoast,9-5-2022,1088.43,1090.60,-4.36,1109.54,-55.59,1135.91,1139.24,-6.71,1167.63,-106.59,1702.17,1933.77,92.64,+152.92,1745.16,1867.65,48.99,+16.46
Nigma Galaxy,9-5-2022,969.65,982.85,-0.73,966.74,+14.87,1012.98,1035.81,+11.73,995.53,+62.17,1506.09,1848.56,136.99,-64.47,1741.06,1867.30,50.50,-2.74
Team Magma,9-5-2022,956.44,955.37,+2.15,953.82,-35.32,936.70,935.15,+3.12,928.93,-56.48,1463.02,1896.21,173.28,-48.93,1707.93,1843.68,54.30,-2.55
Polaris Esports,9-5-2022,1117.98,1079.98,+89.51,1054.97,+71.51,1181.08,1117.79,+166.26,1062.69,+139.80,1769.06,1910.17,56.44,+0.94,1702.88,1814.81,44.77,-3.14
Aster.Aries,9-5-2022,1070.65,1072.39,-3.49,1056.20,+79.47,1119.00,1121.92,-5.87,1094.91,+130.60,1553.13,1997.30,177.67,-47.58,1701.51,1850.29,59.51,-2.31
One Move,9-5-2022,1106.39,1141.40,-45.26,1159.87,-40.71,1120.00,1192.41,-96.12,1219.91,-84.26,1631.99,1811.55,71.82,+16.81,1700.66,1808.63,43.19,-2.28
Natus Vincere,9-5-2022,1011.80,1012.09,-0.58,1019.39,-4.00,1016.06,1016.46,-0.79,1039.23,-17.19,1461.98,1846.06,153.63,-56.18,1682.69,1822.91,56.08,-2.55
4 Zoomers,9-5-2022,1039.25,1040.21,-1.94,1035.68,+36.58,1056.07,1057.45,-2.77,1049.64,+62.25,1371.86,1792.82,168.38,-50.55,1671.55,1794.03,48.99,-2.82
Team SMG,9-5-2022,964.53,963.66,+1.75,970.02,-34.29,947.34,946.05,+2.60,955.89,-56.84,1406.80,1810.65,161.54,-53.00,1666.26,1798.18,52.77,-2.62
Execration,9-5-2022,1056.71,1075.50,-26.85,1016.52,+92.45,1075.01,1127.34,-84.02,1056.79,+97.76,1688.55,1862.59,69.62,+36.15,1652.26,1763.49,44.49,+7.21
HellRaisers,9-5-2022,1014.41,1014.77,-0.71,1057.65,-76.17,1002.69,1002.76,-0.13,1086.32,-147.11,1150.82,1667.49,206.67,-40.28,1649.72,1786.94,54.89,-2.54
Hokori,9-5-2022,1067.62,1079.85,-16.47,1078.28,+3.06,1090.11,1118.15,-41.69,1133.03,-49.64,1644.46,1838.08,77.45,+64.37,1649.12,1758.85,43.89,+17.47
Alliance,9-5-2022,1048.12,1049.30,-2.37,1043.97,+44.44,1112.70,1115.47,-5.56,1112.18,+46.86,1257.35,1723.54,186.48,-45.08,1649.01,1792.50,57.39,-2.45
Brame,9-5-2022,1057.52,1014.41,+80.92,967.35,+79.07,1144.48,1075.03,+138.58,988.26,+136.29,1648.67,1803.89,62.09,+96.76,1642.17,1749.94,43.11,+40.59
Infamous U.esports.,9-5-2022,1017.55,1015.67,-18.26,1035.06,-8.67,1030.13,1009.22,-7.09,1055.15,+2.41,1544.88,1710.83,66.38,+30.55,1637.94,1747.15,43.68,+3.50
Winstrike Team,9-5-2022,1065.26,1066.86,-3.22,1072.49,-14.96,1103.34,1105.88,-5.10,1114.80,-23.69,1280.71,1842.34,224.65,-36.82,1635.68,1769.84,53.66,-2.55
Wildcard Gaming,9-5-2022,1111.45,1077.13,+61.31,1030.12,+120.33,1199.49,1143.59,+84.10,1071.21,+188.31,1529.05,1815.17,114.45,-81.51,1632.39,1753.05,48.27,-2.84
Pari Parni,9-5-2022,1006.42,1006.58,-0.32,1014.30,-15.02,1010.74,1011.01,-0.53,1001.09,+11.49,1383.43,1723.07,135.85,-65.13,1624.76,1762.76,55.20,-2.48
Nigma Galaxy SEA,9-5-2022,1112.48,1088.35,+30.23,1005.64,+139.11,1188.07,1167.90,-1.91,1032.72,+202.06,1671.58,1822.50,60.37,-23.22,1621.71,1743.88,48.87,-13.77
Team Saiyan,9-5-2022,948.05,946.78,+2.56,976.86,-76.39,890.44,887.76,+5.41,938.54,-128.80,1193.22,1668.27,190.02,-44.15,1621.34,1780.62,63.71,-2.20
Tempest,9-5-2022,1036.46,1037.35,-1.80,1042.28,-13.73,1050.30,1051.53,-2.48,1054.47,-2.31,1377.80,1800.54,169.10,-50.30,1621.02,1750.35,51.73,-2.65
SHENZHEN,9-5-2022,981.88,981.44,+0.89,978.92,+10.00,967.60,966.81,+1.60,965.15,+5.76,1329.15,1777.96,179.52,-47.03,1617.65,1782.45,65.92,-2.07
Mind Games,9-5-2022,1010.00,1010.25,-0.49,1050.75,-66.68,1008.94,1009.16,-0.44,1067.76,-98.97,1332.80,1694.70,144.76,-60.29,1610.23,1742.98,53.10,-2.59
LBZS,9-5-2022,884.03,881.18,+5.72,893.70,-51.13,814.49,809.94,+9.15,837.54,-101.96,1179.80,1655.11,190.13,-44.13,1592.44,1746.21,61.51,-2.23
Ybb gaming,9-5-2022,951.19,950.00,+2.41,940.13,+14.65,928.99,927.25,+3.50,903.98,+54.63,1276.42,1659.78,153.34,-56.31,1585.28,1762.03,70.70,-1.93
AS Monaco Gambit,9-5-2022,1006.10,1006.25,-0.30,1026.95,-82.63,986.57,986.24,+0.66,1018.07,-143.47,1284.17,1663.84,151.87,-56.95,1581.50,1708.30,50.72,-2.73
Talon,9-5-2022,1072.25,1074.02,-3.57,1082.35,-29.70,1103.53,1106.06,-5.11,1118.00,-42.56,1462.71,1968.76,202.42,-41.20,1581.19,1767.85,74.66,-1.83
Neon Esports,9-5-2022,891.31,893.38,-21.81,916.57,-49.04,859.97,858.29,-32.03,879.79,-51.33,1506.16,1653.62,58.98,-7.83,1581.06,1692.91,44.74,-13.54
Into The Breach,9-5-2022,992.78,992.61,+0.36,1000.90,-55.99,950.26,949.04,+2.45,958.64,-87.21,1077.78,1549.11,188.53,-44.54,1578.80,1730.71,60.76,-2.26
phoenix gaming,9-5-2022,912.76,910.62,+4.30,911.06,-15.86,876.70,873.68,+6.08,874.70,-24.23,1242.37,1628.61,154.50,-55.81,1578.69,1728.51,59.93,-2.28
PuckChamp,9-5-2022,1011.02,1011.29,-0.54,1010.12,+0.39,1026.14,1026.78,-1.29,1020.95,+5.76,1315.28,1739.27,169.60,-50.14,1578.00,1722.27,57.71,-2.39
Army Geniuses,9-5-2022,1087.05,1100.05,-4.51,1047.60,+91.24,1110.51,1149.02,-43.38,1100.97,+66.29,1675.54,1841.62,66.43,+27.38,1574.59,1693.12,47.41,+18.44
Noping VPN,9-5-2022,967.05,966.25,+1.63,978.58,-39.81,948.89,947.64,+2.52,947.36,-26.94,1165.80,1520.06,141.70,-61.86,1571.02,1707.07,54.42,-2.53
HYDRA,9-5-2022,952.03,959.23,-14.43,1011.62,-93.67,924.41,925.62,+2.30,1007.72,-162.60,1380.31,1622.96,97.06,-105.25,1570.21,1678.41,43.28,-3.19
Infinity,9-5-2022,1079.16,1073.69,+43.32,1010.59,+98.72,1125.74,1133.02,+47.10,1030.78,+139.96,1551.02,1711.20,64.07,-13.28,1564.41,1686.97,49.02,-12.31
CDEC ,9-5-2022,967.72,966.93,+1.59,964.14,+7.40,956.91,955.85,+2.13,952.13,+9.88,628.04,1503.04,350.00,0.00,1561.22,1752.73,76.60,-1.81
TNC Predator,9-5-2022,943.42,942.04,+2.79,926.95,+34.12,932.95,931.30,+3.31,903.23,+61.11,1074.26,1506.83,173.03,-49.01,1559.99,1710.14,60.06,-2.32
DGG Esports,9-5-2022,1039.80,998.97,+3.47,1025.90,+22.57,1076.57,974.73,+29.41,1035.01,+53.55,1523.99,1642.49,47.40,+11.63,1552.79,1663.16,44.15,+6.06
NO SORRY,9-5-2022,1089.89,1050.44,+22.25,1022.50,+156.51,1168.99,1082.43,+56.03,1043.32,+285.25,1531.86,1661.89,52.01,+6.29,1548.72,1674.08,50.14,+0.93
Lilgun ,9-5-2022,919.52,958.36,-77.47,992.74,-104.84,876.25,917.05,-85.66,956.59,-130.67,1429.67,1605.54,70.35,-7.35,1537.28,1645.78,43.40,-7.65
Ka4kanarskie cyxariki,9-5-2022,1048.26,1069.78,-21.33,1077.00,-,1052.80,1081.04,-18.96,1105.50,-,1518.96,1677.72,63.50,-51.34,1536.33,1700.39,65.63,-57.14
Motivate.Trust Gaming,9-5-2022,895.90,915.95,-30.50,916.75,-42.38,870.82,912.61,-65.93,892.72,-55.85,1437.76,1591.89,61.65,+32.17,1534.91,1643.40,43.40,+3.40
Coritiba Esports,9-5-2022,920.92,918.99,+3.90,925.36,-32.95,905.60,903.29,+4.66,915.22,-52.07,1195.39,1619.48,169.64,-50.12,1515.04,1645.64,52.24,-2.63
iG.Vitality,9-5-2022,887.42,884.66,+5.56,886.98,-22.58,831.39,827.26,+8.32,827.66,-13.68,1133.45,1539.14,162.28,-52.73,1510.19,1670.12,63.97,-2.16
Yangon Galacticos,9-5-2022,976.36,975.78,+1.17,996.96,-31.15,961.05,960.10,+1.92,1004.10,-67.79,1189.71,1587.62,159.16,-53.92,1509.69,1647.33,55.05,-2.51
Team Empire,9-5-2022,931.59,929.92,+3.38,952.12,+4.82,874.03,870.94,+6.22,918.56,-2.00,1215.67,1549.63,133.59,-66.51,1508.11,1626.28,47.26,-3.07
SG esports,9-5-2022,1017.69,1018.13,-0.87,1006.42,+18.41,1054.66,1056.00,-2.70,1037.93,+6.63,1121.89,1546.15,169.70,-50.10,1507.46,1656.45,59.60,-2.30
No Monkey Business,9-5-2022,977.94,983.15,-2.32,960.74,-4.86,977.83,992.97,-1.69,938.11,+14.69,1426.90,1601.65,69.90,-11.77,1502.77,1640.86,55.24,-11.14
Nemiga Gaming,9-5-2022,915.51,913.44,+4.17,888.38,+1.10,883.23,880.37,+5.76,814.45,+59.86,1086.25,1465.83,151.83,-56.97,1499.65,1613.62,45.59,-3.03
Wolf Team,9-5-2022,1073.18,1074.98,-3.61,1073.91,+31.33,1127.10,1130.21,-6.27,1130.38,+48.78,1270.17,1748.42,191.30,-43.83,1484.35,1657.48,69.25,-1.97
X3,9-5-2022,1015.04,1041.21,-11.75,990.29,+51.86,997.71,1079.27,-74.60,1019.00,+9.90,1398.11,1678.37,112.10,-83.93,1482.34,1625.99,57.46,-2.38
Rune Eaters,9-5-2022,1012.71,1013.02,-0.63,992.55,-,1030.63,1031.38,-1.51,998.42,-,1287.48,1632.14,137.86,-63.96,1464.18,1662.72,79.41,-1.72
DogChamp,9-5-2022,994.21,962.14,+49.99,908.53,+98.73,1054.01,1000.47,+84.51,888.37,+200.77,1469.55,1620.96,60.56,+42.27,1463.02,1589.34,50.53,+28.06
Balrogs e-Sport,9-5-2022,943.34,941.95,+2.80,947.05,-24.72,905.59,903.28,+4.66,907.23,-25.04,1183.63,1595.09,164.58,-51.88,1454.83,1622.09,66.91,-2.04
Ooredoo Thunders,9-5-2022,999.85,982.72,-16.69,982.72,-,1018.65,961.46,-0.46,961.46,-,1420.81,1614.81,77.60,+98.63,1451.56,1640.27,75.48,+89.61
Gorillaz-Pride,9-5-2022,1043.74,1044.81,-2.16,1032.05,+72.80,1074.03,1075.84,-3.65,1052.93,+149.80,1134.24,1557.98,169.50,-50.17,1446.09,1602.70,62.65,-2.19
Into The Breach,9-5-2022,975.68,975.08,+1.20,966.14,+12.98,971.82,971.13,+1.39,956.93,+23.44,992.27,1431.40,175.66,-48.19,1419.46,1603.66,73.68,-1.85
5RATFORCESTAFF,9-5-2022,1054.02,1055.35,-2.67,1085.38,-24.14,1038.68,1039.63,-1.91,1108.09,-65.41,1264.91,1629.31,145.76,-59.79,1404.35,1579.28,69.97,-1.95
Team Bald Reborn,9-5-2022,902.28,899.88,+4.82,911.57,-25.52,842.11,838.24,+7.79,857.26,-39.05,897.53,1320.74,169.28,-50.24,1399.75,1562.78,65.21,-2.10
UD VESSUWAN,9-5-2022,995.53,995.42,+0.22,962.80,+34.64,1054.17,1055.50,-2.67,970.15,+114.62,1260.10,1604.63,137.81,-63.99,1393.14,1579.29,74.46,-1.83
The Cut,9-5-2022,870.90,862.06,-4.36,891.46,-66.34,831.37,797.77,+30.78,830.51,-75.30,1212.61,1431.43,87.53,-31.32,1376.80,1506.10,51.72,-25.16
Simply TOOBASED,9-5-2022,877.42,874.41,+6.05,866.38,+17.66,824.13,819.82,+8.68,808.22,+34.31,906.79,1399.85,197.22,-42.38,1374.78,1528.29,61.40,-2.23
Yet Another Team,9-5-2022,925.60,936.67,+13.06,905.80,-31.65,906.92,927.30,+44.63,841.23,-21.21,1204.38,1521.91,127.01,-70.90,1371.11,1539.02,67.16,-2.03
B8,9-5-2022,893.24,890.63,+5.27,889.58,+11.57,850.76,847.10,+7.36,847.23,+13.66,649.10,1255.85,242.70,-33.91,1366.39,1511.81,58.17,-2.36
IVY,9-5-2022,944.01,942.64,+2.76,908.92,+87.10,968.94,968.17,+1.53,904.93,+169.66,1003.72,1427.50,169.51,-50.16,1356.35,1512.90,62.62,-2.19
Omega Gaming,9-5-2022,937.01,935.47,+3.11,960.11,-73.88,871.97,868.83,+6.32,916.10,-143.45,979.49,1390.79,164.52,-51.90,1349.00,1508.02,63.61,-2.16
Eternity,9-5-2022,911.65,909.48,+4.36,900.62,+48.75,894.58,892.00,+5.20,876.23,+110.58,872.54,1300.32,171.11,-49.63,1347.28,1493.05,58.31,-2.36
Nova,9-5-2022,885.97,906.71,-2.37,934.60,-,824.51,859.41,+12.28,882.65,-,1193.39,1464.45,108.43,-88.10,1335.40,1509.33,69.57,-1.96
Arkosh Gaming,9-5-2022,949.29,948.05,+2.50,931.66,+57.58,960.35,959.38,+1.96,933.53,+99.91,1014.03,1430.96,166.77,-51.10,1326.63,1472.30,58.27,-2.35
felt,9-5-2022,1005.81,1005.95,-0.29,1024.60,-31.32,995.78,995.68,+0.21,1039.09,-103.88,1208.85,1552.41,137.42,-64.21,1323.24,1467.14,57.56,-2.39
Happy Seals,9-5-2022,896.00,960.07,-118.35,1014.53,-,790.38,913.30,-220.01,1009.07,-,1295.42,1469.05,69.45,-7.73,1277.17,1446.23,67.63,-6.89
KBU.US,9-5-2022,974.09,973.46,+1.28,967.11,-23.06,954.58,953.47,+2.24,937.46,-51.92,978.67,1393.11,165.78,-51.45,1267.61,1439.27,68.67,-1.99
Interitus,9-5-2022,892.24,889.60,+5.32,885.17,+4.42,844.56,840.75,+7.67,830.78,+26.40,811.82,1308.97,198.86,-42.00,1195.82,1386.62,76.32,-1.79
5ManMidas,9-5-2022,919.86,917.90,+3.95,934.50,-43.65,858.58,855.12,+6.98,890.83,-89.17,875.04,1299.25,169.69,-50.11,1187.91,1345.58,63.07,-2.17
PSG.LGD,8-5-2022,1190.08,1150.59,+43.66,1148.51,+68.20,1299.52,1205.03,+104.87,1204.16,+139.46,2074.76,2296.57,88.72,+129.15,2004.06,2120.93,46.75,+13.14
Team Spirit,8-5-2022,1166.17,1170.24,-8.20,1137.48,+29.88,1256.94,1263.24,-12.68,1191.52,+79.88,1828.30,2211.97,153.47,-56.25,1929.30,2060.63,52.53,-2.64
Tundra Esports,8-5-2022,1160.40,1167.04,+8.66,1121.98,+20.33,1240.24,1256.60,+13.55,1174.00,+31.24,1922.19,2091.25,67.62,+29.43,1911.29,2026.34,46.02,+13.05
Team Aster,8-5-2022,1094.47,1100.20,+2.84,1089.60,+17.58,1123.38,1147.27,-5.74,1129.98,+3.38,2016.08,2194.28,71.28,+57.17,1905.34,2013.48,43.26,+11.66
Royal Never Give Up,8-5-2022,1094.45,1043.69,+71.71,1065.92,-12.18,1177.62,1041.69,+201.12,1063.15,+45.72,1930.71,2131.40,80.27,+200.60,1893.32,2001.31,43.19,+24.82
BOOM Esports,8-5-2022,1120.55,1150.05,-21.29,1164.85,-75.07,1128.83,1191.30,-40.45,1214.66,-156.93,1826.99,2056.00,91.60,+51.29,1892.58,2007.79,46.08,-0.61
Xtreme  Gaming,8-5-2022,1095.49,1119.19,-34.96,1122.90,-62.13,1109.19,1165.45,-81.48,1162.88,-120.18,2000.99,2189.38,75.36,+5.59,1883.23,2002.93,47.88,+6.94
OG,8-5-2022,1147.80,1151.42,-7.29,1150.67,+17.73,1270.81,1277.45,-13.36,1282.38,+7.42,1835.37,2185.76,140.16,-62.69,1874.58,2003.33,51.50,-2.74
Evil Geniuses,8-5-2022,1138.79,1142.19,-6.85,1138.22,+24.87,1207.11,1212.18,-10.22,1206.41,+37.18,1676.69,2031.09,141.76,-61.83,1873.28,2010.33,54.82,-2.51
TSM FTX,8-5-2022,1097.30,1099.68,-4.80,1114.12,-32.43,1123.81,1126.84,-6.11,1149.87,-46.68,1642.11,1985.93,137.53,-64.16,1866.44,1995.99,51.82,-2.64
